NAMESPACE              LAST SEEN              TYPE      REASON                         OBJECT                                            MESSAGE
kubernetes-dashboard   24m (x2 over 25m)      Normal    Pulled                         Pod/kubernetes-dashboard-7779f9b69b-skgcr         Container image "docker.io/kubernetesui/dashboard:v2.7.0@sha256:2e500d29e9d5f4a086b908eb8dfe7ecac57d2ab09d65b24f588b1d449841ef93" already present on machine
kubernetes-dashboard   24m (x2 over 25m)      Normal    Started                        Pod/kubernetes-dashboard-7779f9b69b-skgcr         Started container kubernetes-dashboard
kubernetes-dashboard   24m (x2 over 25m)      Normal    Created                        Pod/kubernetes-dashboard-7779f9b69b-skgcr         Created container: kubernetes-dashboard
kube-system            24m                    Normal    LeaderElection                 Endpoints/k8s.io-minikube-hostpath                minikube_4ad2bbe2-6d31-4cc6-9501-b2ba749b9a0a became leader
default                22m                    Normal    SuccessfulRescale              HorizontalPodAutoscaler/scale-test-app-hpa        New size: 2; reason: memory resource utilization (percentage of request) above target
default                22m                    Normal    Scheduled                      Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully assigned default/scale-test-app-deployment-6c87d67d68-zdr7k to minikube
default                22m                    Normal    ScalingReplicaSet              Deployment/scale-test-app-deployment              Scaled up replica set scale-test-app-deployment-6c87d67d68 from 1 to 2
default                22m                    Normal    SuccessfulCreate               ReplicaSet/scale-test-app-deployment-6c87d67d68   Created pod: scale-test-app-deployment-6c87d67d68-zdr7k
default                22m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 1.635s (1.635s including waiting). Image size: 10812245 bytes.
default                22m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 1.515s (1.515s including waiting). Image size: 10812245 bytes.
default                21m                    Normal    ScalingReplicaSet              Deployment/scale-test-app-deployment              Scaled up replica set scale-test-app-deployment-6c87d67d68 from 2 to 3
default                21m                    Normal    Scheduled                      Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully assigned default/scale-test-app-deployment-6c87d67d68-xj422 to minikube
default                21m                    Normal    SuccessfulRescale              HorizontalPodAutoscaler/scale-test-app-hpa        New size: 3; reason: memory resource utilization (percentage of request) above target
default                21m                    Normal    SuccessfulCreate               ReplicaSet/scale-test-app-deployment-6c87d67d68   Created pod: scale-test-app-deployment-6c87d67d68-xj422
default                21m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 2.667s (2.667s including waiting). Image size: 10812245 bytes.
default                10m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 1.835s (1.835s including waiting). Image size: 10812245 bytes.
default                10m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 1.853s (1.853s including waiting). Image size: 10812245 bytes.
default                10m                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 1.89s (1.89s including waiting). Image size: 10812245 bytes.
default                9m57s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 2.396s (2.396s including waiting). Image size: 10812245 bytes.
default                9m52s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 3.041s (3.041s including waiting). Image size: 10812245 bytes.
default                9m50s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 2.132s (3.185s including waiting). Image size: 10812245 bytes.
default                9m23s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 2.966s (2.967s including waiting). Image size: 10812245 bytes.
default                9m21s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 1.585s (2.553s including waiting). Image size: 10812245 bytes.
default                9m17s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 2.29s (2.29s including waiting). Image size: 10812245 bytes.
default                8m33s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 1.513s (1.513s including waiting). Image size: 10812245 bytes.
default                8m33s (x6 over 25m)    Normal    Started                        Pod/scale-test-app-deployment-6c87d67d68-82q2q    Started container scale-test-app
default                8m27s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 2.499s (2.499s including waiting). Image size: 10812245 bytes.
default                8m18s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 2.906s (2.906s including waiting). Image size: 10812245 bytes.
default                7m55s (x14 over 25m)   Warning   FailedComputeMetricsReplicas   HorizontalPodAutoscaler/scale-test-app-hpa        invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
default                6m42s (x14 over 22m)   Warning   BackOff                        Pod/scale-test-app-deployment-6c87d67d68-82q2q    Back-off restarting failed container scale-test-app in pod scale-test-app-deployment-6c87d67d68-82q2q_default(136f00ae-a218-409b-86a1-9f9e1419fe1a)
default                6m30s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 3.07s (3.07s including waiting). Image size: 10812245 bytes.
default                6m28s (x7 over 25m)    Normal    Pulling                        Pod/scale-test-app-deployment-6c87d67d68-82q2q    Pulling image "shestera/scaletestapp:latest"
default                6m25s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-82q2q    Successfully pulled image "shestera/scaletestapp:latest" in 2.571s (2.571s including waiting). Image size: 10812245 bytes.
default                6m25s (x7 over 25m)    Normal    Created                        Pod/scale-test-app-deployment-6c87d67d68-82q2q    Created container: scale-test-app
default                6m17s                  Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 3.063s (3.063s including waiting). Image size: 10812245 bytes.
default                4m40s                  Normal    Killing                        Pod/scale-test-app-deployment-6c87d67d68-82q2q    Stopping container scale-test-app
default                4m40s                  Normal    SuccessfulDelete               ReplicaSet/scale-test-app-deployment-6c87d67d68   Deleted pod: scale-test-app-deployment-6c87d67d68-82q2q
default                4m40s                  Normal    ScalingReplicaSet              Deployment/scale-test-app-deployment              Scaled down replica set scale-test-app-deployment-6c87d67d68 from 3 to 2
default                4m40s                  Normal    SuccessfulRescale              HorizontalPodAutoscaler/scale-test-app-hpa        New size: 2; reason: All metrics below target
default                2m5s (x26 over 10m)    Warning   BackOff                        Pod/scale-test-app-deployment-6c87d67d68-xj422    Back-off restarting failed container scale-test-app in pod scale-test-app-deployment-6c87d67d68-xj422_default(4aacbc9b-65a4-4ab2-a347-bfb7fe999d75)
default                101s (x7 over 22m)     Normal    Pulling                        Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Pulling image "shestera/scaletestapp:latest"
default                99s (x7 over 22m)      Normal    Created                        Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Created container: scale-test-app
default                99s (x7 over 22m)      Normal    Started                        Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Started container scale-test-app
default                99s                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Successfully pulled image "shestera/scaletestapp:latest" in 1.957s (1.957s including waiting). Image size: 10812245 bytes.
default                98s (x7 over 21m)      Normal    Pulling                        Pod/scale-test-app-deployment-6c87d67d68-xj422    Pulling image "shestera/scaletestapp:latest"
default                95s (x7 over 21m)      Normal    Created                        Pod/scale-test-app-deployment-6c87d67d68-xj422    Created container: scale-test-app
default                95s (x7 over 21m)      Normal    Started                        Pod/scale-test-app-deployment-6c87d67d68-xj422    Started container scale-test-app
default                95s                    Normal    Pulled                         Pod/scale-test-app-deployment-6c87d67d68-xj422    Successfully pulled image "shestera/scaletestapp:latest" in 2.452s (2.452s including waiting). Image size: 10812245 bytes.
default                10s (x37 over 25m)     Warning   FailedGetResourceMetric        HorizontalPodAutoscaler/scale-test-app-hpa        failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
default                6s (x34 over 10m)      Warning   BackOff                        Pod/scale-test-app-deployment-6c87d67d68-zdr7k    Back-off restarting failed container scale-test-app in pod scale-test-app-deployment-6c87d67d68-zdr7k_default(8c5e7d52-e720-430c-84bf-dce3593e569d)
